com,sim_content,sin_comment,word_count,duplicate_word_ratio,no_of_sentences,length_of_comment,num_of_punctuations,is_period_sequence,stop_word_ratio,post_coment_gap,black_word_count,is_link,is_youtube_link,is_number,is_mail,comment_duplication,classifier_val
UgyehTL_Wa7EWRUno-N4AaABAg,0.35713564219326255,0.3201316871016498,28,0.1071428571428571,4,147,0,1,0.14285714285714285,10532.616666666667,0,0,0,0,0,0,0
Ugw8AJGgpdcG8x0NADt4AaABAg,0.3460420927745065,0.38783755888736,23,0.17391304347826086,2,136,0,1,0.043478260869565216,10524.5,2,0,0,0,0,0,0
Ugy5aCvI_yMmY3l4g6R4AaABAg,0.3284356763143832,0.2843139497544805,21,0.04761904761904767,1,107,0,0,0.0,10513.366666666667,5,0,0,0,0,0,1
UgwHCEVbLGYngMkXMad4AaABAg,0.27293330098111473,0.31844367721825884,22,0.0,3,116,1,0,0.045454545454545456,10299.383333333333,1,0,0,0,0,0,0
UgxkTUtsnCdANsOYFgl4AaABAg,0.46791664765549507,0.5279302435560728,24,0.0,1,149,0,0,0.041666666666666664,10206.783333333333,0,0,0,0,0,0,0
UgzKY0X5baQTCAhj1wd4AaABAg,0.32186347780299107,0.4588906337949939,6,0.0,1,52,2,0,0.0,10137.083333333334,1,0,0,0,0,0,0
UgwvOQMyfbyFXv1ws_d4AaABAg,0.20626201631716926,0.23832760430004699,5,0.0,1,26,0,1,0.0,10089.3,0,0,0,0,0,0,0
UgyKPFlO877J25Wfnq94AaABAg,0.12642297143532702,0.150051513817747,12,0.0,1,72,4,0,0.0,10081.266666666666,0,1,1,0,0,0,1
UgyL8P03JAiinlnx-6R4AaABAg,0.3990113974230659,0.445794383500562,29,0.06896551724137934,1,158,0,0,0.034482758620689655,9777.95,1,0,0,0,0,0,0
Ugxo0CSV5mXJbOdaZqd4AaABAg,0.20894830481152551,0.24568308833069302,11,0.0,3,68,0,1,0.09090909090909091,9475.2,0,0,0,0,0,0,0
Ugx1WaAu2nnVfsz6JDF4AaABAg,0.3235449332451765,0.36081835199427026,17,0.0,4,111,2,0,0.058823529411764705,9362.233333333334,2,0,0,0,0,0,0
UgwHp-F5v0W4DwoBXTN4AaABAg,0.11048376388724596,0.11793029172004077,3,0.0,1,18,0,0,0.0,9330.683333333332,0,0,0,0,0,0,0
Ugwc5ELq7KATux1ng0J4AaABAg,0.21377147302779664,0.22059894674645236,5,0.0,1,26,0,0,0.0,9329.983333333334,0,0,0,0,0,0,0
UgwMdGYJn83xlHYNbeh4AaABAg,0.3819319011967276,0.43796612821672426,34,0.1470588235294118,3,210,0,1,0.029411764705882353,9325.0,2,0,0,0,0,0,0
UgyAJBotk2ruM31c2eR4AaABAg,0.31941905600295656,0.37893214180107215,12,0.16666666666666663,3,70,0,0,0.0,9312.95,1,0,0,0,0,0,0
UgzM2y0Q-rpKBwHXsGV4AaABAg,0.32744708875731404,0.29504336784459634,11,0.09090909090909094,1,53,0,0,0.0,9306.816666666668,2,0,0,0,0,0,0
UgzllcuoStDr93DSzTJ4AaABAg,0.20842162577088544,0.25152569864500723,6,0.0,1,37,0,0,0.0,9174.45,0,0,0,0,0,0,0
Ugyd4T7vYccYCODEHH54AaABAg,0.3817324862455534,0.42124742177898744,39,0.02564102564102566,3,230,0,0,0.05128205128205128,9166.3,1,0,0,0,0,0,0
UgwMDBPqKakVhEn5JD94AaABAg,0.4613958334384966,0.46745041879496285,89,0.101123595505618,4,481,0,0,0.056179775280898875,9095.016666666666,3,0,0,0,0,0,0
UgwUEiTmUARoyL0-mXR4AaABAg,0.09899307342595783,0.186408878440101,3,0.0,1,17,0,0,0.0,9082.1,0,0,0,0,0,0,0
Ugzl7FVpE1bTvnRpF7J4AaABAg,0.24159448576895462,0.2996006639897633,15,0.1333333333333333,1,99,0,0,0.0,8840.833333333334,1,0,0,0,0,0,0
Ugx49KDfdC5ooFFwinJ4AaABAg,0.44519677018535925,0.5002210060789181,27,0.07407407407407407,3,154,0,0,0.07407407407407407,8787.666666666666,0,0,0,0,0,0,0
UgwsB1V0Cl9-9UNyvFR4AaABAg,0.3004998286112201,0.28856412170081525,15,0.0,3,117,7,1,0.13333333333333333,8769.066666666668,1,0,0,0,0,0,0
UgzUOQrT9Exc9B2D0Eh4AaABAg,0.2440877703187544,0.26022951308640524,13,0.0,1,64,0,0,0.07692307692307693,8716.283333333333,0,0,0,0,0,0.0,0
Ugzerd3UIix6lTNWGE94AaABAg,0.10980195724348962,0.11171027223227797,6,0.0,1,26,0,0,0.0,8708.533333333333,0,0,0,0,0,0.0,0
UgyKPj-2K2c2oUX1ZsZ4AaABAg,0.2588424729491235,0.25290597939501613,14,0.0714285714285714,1,75,0,0,0.07142857142857142,8637.983333333334,2,0,0,0,0,0,0
UgzU2v8wcTVN4QBhF_94AaABAg,0.32872860840309387,0.4131089044759087,10,0.0,1,67,0,0,0.0,8586.733333333334,0,0,0,0,0,0,0
UgzV0H100UDIt9PWKoZ4AaABAg,0.4087155400420601,0.4073359251488729,26,0.11538461538461542,4,132,0,1,0.0,8552.05,2,0,0,0,0,0,0
Ugx6lSMdMAOK5u5HE114AaABAg,0.3517468505154294,0.4133792784736195,21,0.0,1,123,0,1,0.0,8550.616666666667,1,0,0,0,0,0,0
Ugzy14Nv8jhMLYwAJCN4AaABAg,0.200157394445158,0.2638244855089993,4,0.0,1,21,0,0,0.0,8476.35,0,0,0,0,0,0,0
UgySh_no2StZkz4hW454AaABAg,0.2625475219722835,0.36123573612016396,13,0.0,1,81,3,1,0.07692307692307693,8361.416666666666,0,0,0,0,0,0,0
UgxtOzKm3jeN28tZuL54AaABAg,0.3141516361811412,0.40207094534541665,14,0.2142857142857143,3,83,0,1,0.0,8191.35,2,0,0,0,0,0,0
Ugz46pNgoln16dzvY1l4AaABAg,0.22328490895574343,0.24742096835113342,13,0.0,2,65,0,1,0.0,7973.133333333333,1,0,0,0,0,0,0
UgzASyM1pcHVe1AHcLV4AaABAg,0.2985830564570018,0.35063310908818784,8,0.0,1,45,0,0,0.0,7857.8,3,0,0,0,0,0,0
Ugzy45w7sNRNSq9RZlh4AaABAg,0.12822347087107291,0.1748025058721817,3,0.0,1,18,0,0,0.0,7753.766666666666,0,0,0,0,0,0,0
Ugz3bBEqO15gaAdbADR4AaABAg,0.5124947281296356,0.521767914000877,53,0.05660377358490565,8,343,4,0,0.11320754716981132,7639.083333333333,0,0,0,0,0,0,0
Ugyo4JHFziCZtW3eYdJ4AaABAg,0.5195047043041016,0.5639445716641386,41,0.09756097560975607,1,266,0,0,0.024390243902439025,7619.933333333333,2,0,0,0,0,0,0
