cid,sim_content,sim_comment,word_count,duplicate_word_ratio,no_of_sentences,length_of_comment,num_of_punctuations,is_period_sequence,post_coment_gap,black_word_count,is_link,is_youtube_link,is_number,comment_duplication,is_spam
Ugz1rjQF0uueVm58n-d4AaABAg,0.04797860707464383,0.07484481727925449,4,0.0,2,19,0,0,64480.0,0.0,0,0,0,0,0
UgxMR2ScDUt3nzs81r54AaABAg,0.23122466266014688,0.21372705801928332,16,0.0625,2,97,0,0,62426.0,0.125,0,0,0,0,1
Ugy8eO0yp8k9tWtG17Z4AaABAg,0.10522028583207765,0.08877277682198781,9,0.0,1,40,0,0,61998.0,0.1111111111111111,0,0,0,0,0
Ugyx2sbZ7br7TWAnYgx4AaABAg,0.10796705950663577,0.16441982367348448,3,0.0,1,17,0,0,61919.0,0.3333333333333333,0,0,0,0,0
Ugzfd6LhZYMnHcFAC_R4AaABAg,0.14336449004465532,0.16549924951512993,7,0.0,1,39,1,0,61503.0,0.0,0,0,0,0,0
Ugx0Fp9ffgWb8oFNWF14AaABAg,0.1827724709351288,0.21600774123898797,8,0.0,1,39,0,0,61059.0,0.0,0,0,0,0,0
UgzV_ZxnTXgwXbS4APN4AaABAg,0.3766937132351265,0.3662844223677992,21,0.04761904761904767,3,113,0,0,60666.0,0.19047619047619047,0,0,0,0,0
UgwTgiYYTm7RKOCX1jZ4AaABAg,0.09894250973272949,0.07997261410390169,3,0.0,1,13,1,0,57646.0,0.0,0,0,0,0,0
UgxpWfLNDw6P4wUnAcZ4AaABAg,0.15017496018673046,0.18934088292338114,7,0.0,1,33,0,0,56805.0,0.0,0,0,0,0,0
UgzbcFJE55xF8u_KCj94AaABAg,0.2546414878046921,0.32616128602058625,39,0.33333333333333337,2,205,0,0,55832.0,0.05128205128205128,0,0,0,0,0
Ugw5CAmeJvyK9W3Kn2d4AaABAg,0.09495450431713345,0.11893740441645269,5,0.0,1,28,0,0,55345.0,0.0,0,0,0,0,0
UgzKJxFBhGywIfS6LT14AaABAg,0.12134392075782113,0.17786819052529707,4,0.0,1,24,0,0,54326.0,0.0,0,0,0,0,0
Ugx1a5--NwhGsxmMuzF4AaABAg,0.1265958737184422,0.1151935333223358,6,0.0,1,26,0,0,52491.0,0.0,0,0,0,0,0
UgykxOrgx0wGI64n8uN4AaABAg,0.15499305452306492,0.2026982631456163,7,0.0,1,34,0,0,51663.0,0.0,0,0,0,0,0
Ugy9RSXiswr6n6U1viZ4AaABAg,0.09269081186331557,0.26661956772612266,14,0.0,1,72,3,0,51517.0,0.0,0,0,0,0,0
UgyYBwJKzYOa6MZyW014AaABAg,0.05647267726230408,0.07775568053513982,6,0.0,1,28,0,0,50715.0,0.0,0,0,0,0,0
Ugwdej0VvQS3Q-XssrF4AaABAg,0.20027529203930367,0.3085743921371181,12,0.0,1,58,0,0,50548.0,0.08333333333333333,0,0,0,0,0
UgzQ2Z5dZFjjnFVz2QN4AaABAg,0.2582604628214941,0.21894651268827187,28,0.2142857142857143,2,171,2,0,49818.0,0.0,0,0,0,0,0
UgzNBOP3-2ufLcIniP94AaABAg,0.2897918758421854,0.3378100575869488,24,0.0,4,128,3,1,49017.0,0.041666666666666664,0,0,0,0,0
Ugz8G_4Hcj6I3B8VM5N4AaABAg,0.0448801394882677,0.07862296883813703,7,0.0,1,48,7,0,48698.0,0.0,1,1,0,0,1
UgxK7VLJgOHovvmpDCl4AaABAg,0.16704280247440978,0.1669557059639121,16,0.125,1,90,0,0,47359.0,0.0,0,0,0,0,0
UgzCOWQJo31eDK4ikY94AaABAg,0.05202699184073649,0.08900158360007236,3,0.0,1,17,0,0,46456.0,0.0,0,0,0,0,0
UgwI9A1b8YzOyZzDY4R4AaABAg,0.17175048500907553,0.21903604508990696,12,0.0,2,57,0,1,46120.0,0.0,0,0,0,0,0
UgxRlCM7OjE5MZBUyat4AaABAg,0.3677895789353416,0.29345467857156954,14,0.0,1,77,1,0,45261.0,0.0,0,0,0,0,0
UgxrdruwhBTCcGWE2O94AaABAg,0.286359410128838,0.2471663354800263,16,0.0,1,90,0,0,43696.0,0.0,0,0,0,0,0
UgywBYHq4N6PPmUWMPp4AaABAg,0.13726633697125948,0.16153730864958252,5,0.0,1,32,1,1,43633.0,0.2,0,0,0,0,0
UgwMPNN02ncjcf0LXQp4AaABAg,0.35869662545195596,0.44598242298265045,41,0.04878048780487809,5,232,4,0,43276.0,0.024390243902439025,0,0,0,0,0
UgxWTwVhuY7EZDJqdJx4AaABAg,0.23382596626511487,0.23006726537321365,9,0.0,1,44,0,0,42665.0,0.0,0,0,0,0,0
UgwPdygh4-9FxRdP-iR4AaABAg,0.43143608810875494,0.37389372472197446,48,0.08333333333333337,5,284,1,1,39445.0,0.020833333333333332,0,0,0,0,0
